Region,Seismic Events per 10000 km²,Avg. Earthquake Magnitude,Avg. Depth of Earthquakes (km),Population Density (km²),Expected Tsunami Height (m/10000km²)
Auckland,0,0,0,289.24,10.22
Bay of Plenty,11.45,2.16,63.91,21.89,4.09
Canterbury,5.62,2.51,19.03,12.12,2.02
Gisborne,31.58,2.35,29,5.23,13.17
Hawke’s Bay,9.92,2,23.78,10.71,7.79
Manawatu-Wanganui,9.90,1.92,40.89,10.02,2.25
Marlborough,17.62,2.21,21.12,4.15,7.20
Nelson,0.98,2.58,12.03,9.32,4.89
Northland,0,0,0,11,5.08
Otago,1.66,2.62,39.96,6.49,2.24
Southland,0.87,2.94,40,2.99,2.04
Taranaki,1.38,2.09,99.69,15.11,4.13
Waikato,3.6,1.71,65.17,16.15,2
Wellington,8.7,1.87,26.36,58.56,13.67
West Coast,0.86,2.60,48.83,1.38,2.15
